,count,mean,std,min,25%,50%,75%,max,missing_values
PM10,84564.0,0.3748123876811767,1.2158860372390465,-1.3247168453749558,-0.4751251332869093,0.0988276042755636,1.0065232845374148,4.348203229187083,0
NO_2,84564.0,0.13384751193643804,0.9980297988376255,-1.6633421778781747,-0.6341725657089852,0.0201867054052695,0.733088528212031,3.636656324786906,0
CO,84564.0,0.31143355879635837,1.2556260324095427,-1.4921419440961536,-0.5883395470001499,0.0010967531061874,1.0227863633792675,4.873770495227913,0
SO_2,84564.0,0.39707008113859565,1.1998150935661918,-1.890764336098738,-0.4735666723833284,0.019290896668629,0.852498899300718,4.994361510020185,0
O_3,84564.0,-0.48032788025699935,1.1270729915656799,-2.2712923143579267,-1.5054991946687166,-0.5261591468630127,0.4680590070156148,3.0454999166271604,0
